source,target,linear_cka,cca_top1,cca_mean_top5,ridge_cross_predict_r2
E,D,0.30584192404748284,1.0,1.0,0.1004558072095546
E,T,0.029908445632283665,1.0,1.0,-0.1434021224303108
E,C,0.07380762145952682,1.0,0.6,0.03615300558971748
D,E,0.3058419240474825,1.0,1.0,-3.4004927413774992
D,T,0.017393235117197037,1.0,1.0,-3.8915882110595703
D,C,0.18576302505207581,0.9948048595287207,0.5925573897137826,-1.5909956410068964
T,E,0.029908445632283658,1.0,1.0,-0.3089016851277751
T,D,0.017393238842487335,1.0,1.0,-0.31313347816467285
T,C,0.031365156881328356,0.6805631018359852,0.36172239910658605,-0.1659300222922206
C,E,0.07380762145952682,1.0,0.6,-0.04323854191745981
C,D,0.1857630250520759,0.9948048595287204,0.5925573897137825,0.012854816239596747
C,T,0.03136515688132834,0.6805631018359855,0.36172239910658605,-0.05205698510713809
