diagnosis,config_id,n_subjects,n_positive,covariates,layer_score_coef,layer_score_se,layer_score_p_value,model_auc
SUD,C1,206,85,"MDD,PTSD,GAD,ADHD,comorbidity_count,age,sex,Assigned_Sex",-1.56801863364095,0.832560099976884,0.059650256329984774,0.6303354399611084
SUD,C2,206,85,"MDD,PTSD,GAD,ADHD,comorbidity_count,age,sex,Assigned_Sex",0.186021471858372,0.36054329059801804,0.6058909563808519,0.6269324258629071
SUD,C3,206,85,"MDD,PTSD,GAD,ADHD,comorbidity_count,age,sex,Assigned_Sex",-1.7417234966321191,0.7494446063756475,0.02012447631232428,0.6699076324744774
SUD,C4,206,85,"MDD,PTSD,GAD,ADHD,comorbidity_count,age,sex,Assigned_Sex",-0.16084737507671368,0.37337927091850354,0.6666223977320174,0.6361691784151676
SUD,C5,206,85,"MDD,PTSD,GAD,ADHD,comorbidity_count,age,sex,Assigned_Sex",-0.15891771290142745,0.37338036365966815,0.6703856182977144,0.636266407389402
SUD,C6,206,85,"MDD,PTSD,GAD,ADHD,comorbidity_count,age,sex,Assigned_Sex",1.2339790567450262,3.0621114903114983,0.6869606869107927,0.6295576081672338
MDD,C1,206,142,"SUD,PTSD,GAD,ADHD,comorbidity_count,age,sex,Assigned_Sex",0.0025447790712925748,0.7841679833919051,0.9974107124866285,0.5687169894366197
MDD,C2,206,142,"SUD,PTSD,GAD,ADHD,comorbidity_count,age,sex,Assigned_Sex",-0.594233295262258,0.4138021079862105,0.15099308004561873,0.6016725352112674
MDD,C3,206,142,"SUD,PTSD,GAD,ADHD,comorbidity_count,age,sex,Assigned_Sex",-0.5920432123781131,0.7306057486292611,0.41774152804660747,0.5903389084507042
MDD,C4,206,142,"SUD,PTSD,GAD,ADHD,comorbidity_count,age,sex,Assigned_Sex",-0.6924825178073731,0.3992881842313638,0.08286619108150761,0.6128961267605634
MDD,C5,206,142,"SUD,PTSD,GAD,ADHD,comorbidity_count,age,sex,Assigned_Sex",-0.6904574282661156,0.3992100331557277,0.08370904178198657,0.6131161971830985
MDD,C6,206,142,"SUD,PTSD,GAD,ADHD,comorbidity_count,age,sex,Assigned_Sex",-2.1036488123172497,2.7188001108933246,0.4390836000895426,0.5925396126760564
PTSD,C1,206,82,"SUD,MDD,GAD,ADHD,comorbidity_count,age,sex,Assigned_Sex",-0.5226691929427928,0.801936312914058,0.5145566679505789,0.6620279307631787
PTSD,C2,206,82,"SUD,MDD,GAD,ADHD,comorbidity_count,age,sex,Assigned_Sex",0.3767533539499258,0.3756617390928974,0.3159062921142348,0.6710267505900864
PTSD,C3,206,82,"SUD,MDD,GAD,ADHD,comorbidity_count,age,sex,Assigned_Sex",-0.316687467577082,0.7210381493250744,0.6605090763601322,0.6594217151848938
PTSD,C4,206,82,"SUD,MDD,GAD,ADHD,comorbidity_count,age,sex,Assigned_Sex",0.44322538932369954,0.3769619910189629,0.23968171943447425,0.6666011014948858
PTSD,C5,206,82,"SUD,MDD,GAD,ADHD,comorbidity_count,age,sex,Assigned_Sex",0.44485111488279677,0.37698731948282377,0.23799380271978032,0.6667977970102281
PTSD,C6,206,82,"SUD,MDD,GAD,ADHD,comorbidity_count,age,sex,Assigned_Sex",-1.3528631479657012,3.0327980085948716,0.6555412187115337,0.6552911093627064
GAD,C1,206,60,"SUD,MDD,PTSD,ADHD,comorbidity_count,age,sex,Assigned_Sex",-2.178324448840701,0.9459720494956693,0.02129366831501045,0.6866438356164384
GAD,C2,206,60,"SUD,MDD,PTSD,ADHD,comorbidity_count,age,sex,Assigned_Sex",-0.573650883955246,0.4292111697912679,0.18137817210633544,0.697716894977169
GAD,C3,206,60,"SUD,MDD,PTSD,ADHD,comorbidity_count,age,sex,Assigned_Sex",1.040794561424556,0.7471551909357166,0.1636168036066099,0.6954337899543378
GAD,C4,206,60,"SUD,MDD,PTSD,ADHD,comorbidity_count,age,sex,Assigned_Sex",-0.2997493748008757,0.43748576248711313,0.49324061138110675,0.6958904109589041
GAD,C5,206,60,"SUD,MDD,PTSD,ADHD,comorbidity_count,age,sex,Assigned_Sex",-0.2987650366525556,0.4374015839251299,0.49457830414248627,0.6960045662100456
GAD,C6,206,60,"SUD,MDD,PTSD,ADHD,comorbidity_count,age,sex,Assigned_Sex",0.7313603902593306,4.21158338555758,0.8621370009801441,0.6912100456621004
ADHD,C1,206,50,"SUD,MDD,PTSD,GAD,comorbidity_count,age,sex,Assigned_Sex",-1.874161345345443,0.8932201705198393,0.035886811036738075,0.704871794871795
ADHD,C2,206,50,"SUD,MDD,PTSD,GAD,comorbidity_count,age,sex,Assigned_Sex",0.3078539010727347,0.4557891765505236,0.49940230764970295,0.7038461538461538
ADHD,C3,206,50,"SUD,MDD,PTSD,GAD,comorbidity_count,age,sex,Assigned_Sex",-0.6010153406715797,0.852866431195809,0.4809966837816546,0.7119230769230769
ADHD,C4,206,50,"SUD,MDD,PTSD,GAD,comorbidity_count,age,sex,Assigned_Sex",0.6036282274189069,0.4758463465909061,0.20460659837593242,0.6998717948717949
ADHD,C5,206,50,"SUD,MDD,PTSD,GAD,comorbidity_count,age,sex,Assigned_Sex",0.6034179755612374,0.47584919980741414,0.204767040045168,0.6997435897435897
ADHD,C6,206,50,"SUD,MDD,PTSD,GAD,comorbidity_count,age,sex,Assigned_Sex",-5.696226990936871,3.199388443567157,0.0750086915451087,0.7076923076923075
